"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.700486958E0,-2.510281525E2,-6.878723145E2,-3.504417419E1,7.330835890E2
2.710449958E0,-2.511840973E2,-6.880881958E2,-3.498451233E1,7.333367112E2
2.720412958E0,-2.513978424E2,-6.884000244E2,-3.492987061E1,7.336999146E2
2.730375958E0,-2.513573608E2,-6.882507324E2,-3.487402344E1,7.335433123E2
2.740338958E0,-2.508740082E2,-6.875899048E2,-3.500164795E1,7.327637822E2
2.750301583E0,-2.507395935E2,-6.875173950E2,-3.496881104E1,7.326481625E2
2.760264583E0,-2.509670105E2,-6.877663574E2,-3.530923462E1,7.329759510E2
2.770227583E0,-2.511255798E2,-6.877875366E2,-3.525386047E1,7.330474658E2
2.780190583E0,-2.513321838E2,-6.880750122E2,-3.517346191E1,7.333841159E2
2.790153583E0,-2.512968445E2,-6.883713379E2,-3.521307373E1,7.336519362E2
2.800116583E0,-2.515204773E2,-6.885156250E2,-3.519184875E1,7.338629181E2
2.810079583E0,-2.513601532E2,-6.884281006E2,-3.493321228E1,7.337135038E2
2.820042583E0,-2.511591949E2,-6.882548828E2,-3.479391479E1,7.334755220E2
2.830005583E0,-2.508707886E2,-6.874927368E2,-3.491616821E1,7.326674242E2
2.839967583E0,-4.432040405E1,-2.343907928E2,-5.477804565E1,2.447528882E2
2.849930583E0,1.430081177E1,-1.054031067E2,-6.093750000E1,1.225875484E2
2.859893583E0,3.115859985E1,-6.866426086E1,-6.269059753E1,9.805993108E1
2.869856583E0,3.588711548E1,-5.831549072E1,-6.315565491E1,9.315158755E1
2.879819583E0,3.727877808E1,-5.521688843E1,-6.320838928E1,9.183633561E1
2.889782583E0,3.756436157E1,-5.423934937E1,-6.329719543E1,9.143042836E1
2.899745583E0,3.788723755E1,-5.419311523E1,-6.322943115E1,9.148932982E1
2.909708583E0,3.797402954E1,-5.440969849E1,-6.323405457E1,9.165690299E1
2.919671583E0,3.783901978E1,-5.422557068E1,-6.315301514E1,9.143580947E1
2.929633583E0,3.784152222E1,-5.411624146E1,-6.325477600E1,9.144241401E1
2.939596583E0,3.796939087E1,-5.416368103E1,-6.328025818E1,9.154108401E1
2.949559583E0,3.795431519E1,-5.416197205E1,-6.342408752E1,9.163331346E1
2.959522583E0,3.790560913E1,-5.416252136E1,-6.342466736E1,9.161387642E1
2.969485583E0,3.789370728E1,-5.433061218E1,-6.360241699E1,9.183145386E1
2.979448583E0,3.786758423E1,-5.427340698E1,-6.338623047E1,9.163716961E1
2.989411583E0,3.791702271E1,-5.415953064E1,-6.334007263E1,9.155828838E1
2.999374583E0,3.793600464E1,-5.407910156E1,-6.316795349E1,9.139956248E1
3.009337583E0,3.784237671E1,-5.407765198E1,-6.335507202E1,9.148936042E1
3.019299583E0,3.784695435E1,-5.408496094E1,-6.332235718E1,9.147292425E1
3.029262583E0,3.773263550E1,-5.416648865E1,-6.325440979E1,9.142691416E1
3.039225583E0,3.783053589E1,-5.416125488E1,-6.335484314E1,9.153374856E1
3.049188583E0,3.792929077E1,-5.419819641E1,-6.337738037E1,9.161205126E1
3.059151583E0,3.804586792E1,-5.411831665E1,-6.343200684E1,9.165096701E1
3.069114583E0,3.802828979E1,-5.401730347E1,-6.330212402E1,9.149414629E1
3.079077583E0,3.797573853E1,-5.406396484E1,-6.342074585E1,9.158198521E1
3.089040583E0,3.787612915E1,-5.421563721E1,-6.347068787E1,9.166495893E1
3.099003583E0,3.797055054E1,-5.412377930E1,-6.344651794E1,9.163300078E1
