"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.175244208E0,1.279614258E1,-3.643765259E1,-8.621621704E1,9.447052383E1
2.185274208E0,1.289691162E1,-3.647277069E1,-8.612472534E1,9.441430848E1
2.195303208E0,1.293572998E1,-3.647277832E1,-8.616503906E1,9.445639536E1
2.205332208E0,1.288525391E1,-3.651433563E1,-8.611593628E1,9.442076549E1
2.215361208E0,1.281866455E1,-3.654457855E1,-8.609570312E1,9.440494944E1
2.225390208E0,1.274554443E1,-3.639582062E1,-8.604315186E1,9.428959986E1
2.235419208E0,1.289849854E1,-3.642068481E1,-8.605221558E1,9.432826380E1
2.245448208E0,1.291766357E1,-3.640330505E1,-8.593591309E1,9.421808642E1
2.255477208E0,1.305468750E1,-3.646422577E1,-8.598330688E1,9.430373105E1
2.265507208E0,1.295318604E1,-3.641021729E1,-8.626821899E1,9.452880280E1
2.275536208E0,1.288958740E1,-3.631876373E1,-8.608792114E1,9.432032776E1
2.285565208E0,1.295812988E1,-3.640258026E1,-8.598071289E1,9.426422423E1
2.295594208E0,1.287536621E1,-3.645809174E1,-8.612673950E1,9.440753553E1
2.305623208E0,1.293603516E1,-3.643798065E1,-8.613552856E1,9.441608296E1
2.315652208E0,1.284515381E1,-3.634127045E1,-8.625222778E1,9.447292052E1
2.325681208E0,1.293878174E1,-3.630621338E1,-8.615890503E1,9.438702304E1
2.335710208E0,1.284863281E1,-3.635308838E1,-8.598986816E1,9.423848379E1
2.345740208E0,1.288134766E1,-3.638539886E1,-8.599426270E1,9.425942703E1
2.355769208E0,1.274176025E1,-3.634365845E1,-8.597320557E1,9.420512746E1
2.365798417E0,1.278918457E1,-3.625704956E1,-8.600326538E1,9.420561842E1
2.375827417E0,1.269927979E1,-3.608020782E1,-8.599194336E1,9.411518170E1
2.385856417E0,1.269927979E1,-3.608020782E1,-8.599194336E1,9.411518170E1
2.395885417E0,1.278985596E1,-3.612278748E1,-8.586273193E1,9.402576735E1
2.405914417E0,1.279772949E1,-3.627130890E1,-8.579071045E1,9.401827338E1
2.415944417E0,1.283880615E1,-3.631494904E1,-8.582449341E1,9.407153733E1
2.425973417E0,1.284228516E1,-3.631167603E1,-8.612854004E1,9.434822475E1
2.436002417E0,1.279968262E1,-3.619427490E1,-8.594857788E1,9.413296686E1
2.446031417E0,1.281903076E1,-3.617942810E1,-8.621273804E1,9.437115432E1
2.456060417E0,1.285675049E1,-3.621298218E1,-8.610610962E1,9.429177178E1
2.466089417E0,1.265258789E1,-3.613244629E1,-8.625064087E1,9.436532576E1
2.476118417E0,1.280657959E1,-3.628017426E1,-8.604287720E1,9.425304367E1
2.486148417E0,1.285516357E1,-3.626174164E1,-8.601007080E1,9.422261627E1
2.496177417E0,1.288458252E1,-3.627944946E1,-8.612478638E1,9.433816698E1
2.506206417E0,1.290686035E1,-3.623686981E1,-8.589553833E1,9.411557407E1
2.516235417E0,1.277722168E1,-3.613403320E1,-8.588385010E1,9.404765524E1
2.526264417E0,1.275372314E1,-3.617589569E1,-8.600408936E1,9.417035770E1
2.536293417E0,1.275372314E1,-3.615360260E1,-8.605862427E1,9.421160887E1
2.546322417E0,1.271459961E1,-3.601889038E1,-8.602246094E1,9.412165156E1
2.556351417E0,1.270629883E1,-3.610778809E1,-8.603985596E1,9.417047947E1
2.566381417E0,1.272204590E1,-3.613082886E1,-8.598599243E1,9.413223752E1
2.576410417E0,1.268383789E1,-3.628809357E1,-8.615603638E1,9.434282210E1
2.586439417E0,1.271319580E1,-3.613578796E1,-8.594042969E1,9.409132784E1
2.596468417E0,1.260528564E1,-3.624137878E1,-8.601467896E1,9.418522049E1
